LSOA21CD,med_price_dec_21
E01012280,162000.0
E01012281,97000.0
E01012282,96000.0
E01012283,109000.0
E01012284,69000.0
E01012285,162500.0
E01012286,56999.0
E01012287,87500.0
E01012288,53750.0
E01012289,95000.0
E01012290,130000.0
E01012291,130250.0
E01012292,112500.0
E01012294,282500.0
E01012295,167500.0
E01012296,175000.0
E01012297,210000.0
E01012298,380000.0
E01012299,223000.0
E01012300,156000.0
E01012301,199950.0
E01012302,201000.0
E01012303,297473.0
E01032542,111500.0
E01032543,66500.0
E01032544,140000.0
E01033474,179950.0
E01033475,277750.0
E01033476,382995.0
E01033477,69999.0
E01033478,207950.0
E01033479,215250.0
E01033480,279998.0
E01012304,79000.0
E01012305,67000.0
E01012306,119375.0
E01012307,105000.0
E01012309,149500.0
E01012310,140000.0
E01012311,149000.0
E01012312,90000.0
E01012313,114975.0
E01012314,95000.0
E01012315,220000.0
E01012316,236000.0
E01012317,105000.0
E01012318,100000.0
E01012319,119000.0
E01012323,97196.0
E01012324,119975.0
E01012325,132500.0
E01012326,131000.0
E01012327,
E01012328,115200.0
E01012329,164998.0
E01012330,170000.0
E01012331,110000.0
E01012332,125250.0
E01012333,140000.0
E01012334,282500.0
E01012335,289245.0
E01012336,310000.0
E01012337,235000.0
E01012338,302475.0
E01012339,290000.0
E01012340,98000.0
E01012341,89250.0
E01012342,145998.0
E01012343,130000.0
E01012344,172500.0
E01012345,229995.0
E01012346,227500.0
E01012347,265000.0
E01012348,197000.0
E01012349,55000.0
E01012350,73500.0
E01012351,160000.0
E01012352,78000.0
E01012353,63500.0
E01012354,115000.0
E01012355,147500.0
E01012356,160500.0
E01012357,77700.0
E01012358,110500.0
E01012359,
E01012360,295610.0
E01012361,350000.0
E01012362,66000.0
E01012363,106000.0
E01012364,110000.0
E01012365,175000.0
E01012366,265000.0
E01032545,125750.0
E01032546,189250.0
E01033481,194950.0
E01033482,169995.0
E01033483,69750.0
E01033484,92500.0
E01012367,121000.0
E01012368,132000.0
E01012369,182500.0
E01012370,97000.0
E01012371,165000.0
E01012372,175000.0
E01012373,180000.0
E01012374,245000.0
E01012375,333500.0
E01012376,316500.0
E01012377,163000.0
E01012378,152500.0
E01012379,120000.0
E01012380,105000.0
E01012381,173000.0
E01012382,
E01012383,116000.0
E01012384,153500.0
E01012385,350000.0
E01012386,270000.0
E01012387,297500.0
E01012388,132000.0
E01012389,190000.0
E01012390,130000.0
E01012391,128000.0
E01012392,220000.0
E01012393,291250.0
E01012394,166000.0
E01012395,235000.0
E01012396,92000.0
E01012397,118000.0
E01012398,163000.0
E01012399,115000.0
E01012400,151250.0
E01012401,246000.0
E01012402,139000.0
E01012403,110000.0
E01012404,167500.0
E01012405,148000.0
E01012406,163500.0
E01012407,96500.0
E01012408,87500.0
E01012409,97500.0
E01012410,182000.0
E01012411,169000.0
E01012412,123625.0
E01012413,126250.0
E01012414,170000.0
E01012415,180000.0
E01012416,161500.0
E01012417,100000.0
E01012418,220000.0
E01012419,100000.0
E01012420,110000.0
E01012421,325000.0
E01012422,91750.0
E01012423,155000.0
E01012424,112500.0
E01012425,140000.0
E01012426,250000.0
E01012427,185000.0
E01012428,135000.0
E01012429,124500.0
E01012430,95000.0
E01012431,92975.0
E01012432,127750.0
E01012433,112000.0
E01012434,195875.0
E01012435,266000.0
E01012436,98500.0
E01012437,94000.0
E01012438,
E01012439,101100.0
E01012440,143500.0
E01012441,94000.0
E01012442,130000.0
E01012443,154000.0
E01012444,141500.0
E01012445,
E01012446,467500.0
E01012447,552500.0
E01012448,327100.0
E01012449,383250.0
E01012450,265000.0
E01012451,240000.0
E01012452,525000.0
E01012453,140000.0
E01012454,154000.0
E01012455,124000.0
E01012457,101500.0
E01012458,148500.0
E01012459,141500.0
E01012460,155000.0
E01012461,251000.0
E01012462,175000.0
E01012463,300000.0
E01012464,200000.0
E01012465,155000.0
E01012466,135000.0
E01012467,167500.0
E01012468,337500.0
E01012469,140000.0
E01012470,167500.0
E01012471,383500.0
E01012472,325000.0
E01012473,340000.0
E01012474,189500.0
E01012475,240000.0
E01012476,245000.0
E01012477,518000.0
E01012478,200000.0
E01012479,127000.0
E01012480,111750.0
E01012481,144000.0
E01012482,125000.0
E01012483,117000.0
E01012485,260500.0
E01012486,260000.0
E01012487,278000.0
E01012488,365000.0
E01012489,350000.0
E01012490,271500.0
E01012491,210000.0
E01012492,231040.0
E01012493,231750.0
E01012494,245500.0
E01012495,195000.0
E01012496,235000.0
E01012497,187000.0
E01012498,177000.0
E01012499,211000.0
E01012500,215000.0
E01012501,157750.0
E01012502,380000.0
E01012503,410000.0
E01012504,166000.0
E01012505,152500.0
E01012506,134000.0
E01012507,125000.0
E01012508,137950.0
E01012509,198500.0
E01012510,202000.0
E01012511,113638.0
E01012512,223500.0
E01012513,407500.0
E01012514,395998.0
E01012515,301400.0
E01012516,503700.0
E01012517,317500.0
E01012518,381750.0
E01012519,338000.0
E01012520,151000.0
E01012521,160000.0
E01012522,165000.0
E01012523,125000.0
E01012524,199950.0
E01012525,127998.0
E01012526,135000.0
E01012527,185125.0
E01012528,220000.0
E01012529,220000.0
E01012530,245000.0
E01012531,215000.0
E01012532,214000.0
E01012533,80000.0
E01012534,135000.0
E01012535,128000.0
E01012536,170000.0
E01012537,125000.0
E01012538,191000.0
E01012539,135250.0
E01012540,245000.0
E01012541,154000.0
E01012542,200000.0
E01012543,208000.0
E01012544,210000.0
E01012545,114500.0
E01012546,164500.0
E01012547,210000.0
E01012548,202750.0
E01012549,239950.0
E01012550,210000.0
E01012551,280000.0
E01012552,200000.0
E01012553,295000.0
E01012554,269000.0
E01012555,230000.0
E01012556,225000.0
E01012557,264500.0
E01012558,355000.0
E01012559,375875.0
E01012560,450000.0
E01012561,145500.0
E01012562,322500.0
E01012563,320000.0
E01012564,239250.0
E01012565,260000.0
E01012566,265000.0
E01012567,327995.0
E01012568,242500.0
E01012569,257500.0
E01012570,166500.0
E01033299,125000.0
E01033300,125000.0
E01033302,133000.0
E01033303,100125.0
E01012571,
E01012572,
E01012573,82500.0
E01012574,105000.0
E01012575,
E01012576,90000.0
E01012577,92625.0
E01012578,110500.0
E01012579,
E01012580,95000.0
E01012581,176000.0
E01012582,317500.0
E01012583,234995.0
E01012584,210000.0
E01012585,124500.0
E01012586,169250.0
E01012587,125000.0
E01012588,97500.0
E01012589,80000.0
E01012590,102500.0
E01012591,128000.0
E01012592,205000.0
E01012593,110050.0
E01012594,110000.0
E01012595,71250.0
E01012596,70475.0
E01012597,162475.0
E01012598,210000.0
E01012599,105000.0
E01012600,80500.0
E01012601,
E01012602,171500.0
E01012603,105000.0
E01012604,124975.0
E01012605,95000.0
E01012606,110000.0
E01012607,148000.0
E01012608,107500.0
E01012609,257000.0
E01012610,183250.0
E01012611,168000.0
E01012612,173500.0
E01012613,224950.0
E01012614,176250.0
E01012615,144500.0
E01012616,205495.0
E01012617,106000.0
E01012618,179950.0
E01012619,110000.0
E01012620,169500.0
E01012621,97000.0
E01012622,62750.0
E01012623,99950.0
E01012624,74000.0
E01012625,74250.0
E01012628,340000.0
E01012629,98000.0
E01012630,90000.0
E01012631,80000.0
E01012632,188950.0
E01012633,160000.0
E01012634,149950.0
E01012635,165000.0
E01012636,200000.0
E01012637,113000.0
E01012638,114500.0
E01012639,
E01012640,90000.0
E01012641,66200.0
E01012642,103250.0
E01012643,106375.0
E01012644,89500.0
E01012645,144000.0
E01012646,79475.0
E01012647,117000.0
E01012648,73500.0
E01012649,74500.0
E01012650,75425.0
E01012651,121000.0
E01012652,157500.0
E01012653,110000.0
E01012654,121000.0
E01012655,
E01012656,71000.0
E01012657,80000.0
E01012658,103000.0
E01012659,128000.0
E01012660,265975.0
E01012661,109500.0
E01032485,325000.0
E01032486,277500.0
E01012662,132000.0
E01012663,134750.0
E01012664,132475.0
E01012665,135998.0
E01012666,138950.0
E01012667,159950.0
E01012668,135000.0
E01012669,147000.0
E01012670,
E01012671,80000.0
E01012672,80500.0
E01012673,71000.0
E01012674,85000.0
E01012675,87250.0
E01012676,110000.0
E01012677,162500.0
E01012678,76525.0
E01012679,81050.0
E01012680,90000.0
E01012681,83000.0
E01012682,74950.0
E01012683,99000.0
E01012684,66000.0
E01012685,105000.0
E01012686,92500.0
E01012687,86500.0
E01012688,122000.0
E01012689,136000.0
E01012690,133000.0
E01012691,131000.0
E01012692,127250.0
E01012693,125750.0
E01012694,115500.0
E01012695,89500.0
E01012696,102475.0
E01012697,128500.0
E01012698,85500.0
E01012699,126750.0
E01012700,148000.0
E01012701,142000.0
E01012702,110000.0
E01012703,132500.0
E01012704,133000.0
E01012705,120000.0
E01012706,115000.0
E01012707,89000.0
E01012708,115000.0
E01012709,85000.0
E01012710,210000.0
E01012711,120475.0
E01012712,136750.0
E01012713,128000.0
E01012714,165000.0
E01012715,118975.0
E01012716,129500.0
E01012717,207950.0
E01012718,172500.0
E01012719,153000.0
E01012720,92475.0
E01012721,81000.0
