2021 super output area - lower layer,mnemonic,Total,%,Aged 4 years and under,%,Aged 5 to 9 years,%,Aged 10 to 14 years,%,Aged 15 to 19 years,%,Aged 20 to 24 years,%,Aged 25 to 29 years,%,Aged 30 to 34 years,%,Aged 35 to 39 years,%,Aged 40 to 44 years,%,Aged 45 to 49 years,%,Aged 50 to 54 years,%,Aged 55 to 59 years,%,Aged 60 to 64 years,%,Aged 65 to 69 years,%,Aged 70 to 74 years,%,Aged 75 to 79 years,%,Aged 80 to 84 years,%,Aged 85 years and over,%
Newcastle upon Tyne 022E,E01008453,1892,100,147,7.8,136,7.2,134,7.1,107,5.7,109,5.8,119,6.3,141,7.5,167,8.8,108,5.7,104,5.5,126,6.7,111,5.9,102,5.4,82,4.3,44,2.3,37,2,32,1.7,86,4.5
Newcastle upon Tyne 022G,E01008455,1737,100,123,7.1,170,9.8,142,8.2,126,7.3,193,11.1,155,8.9,148,8.5,140,8.1,122,7,104,6,77,4.4,58,3.3,48,2.8,60,3.5,23,1.3,16,0.9,9,0.5,23,1.3
Newcastle upon Tyne 022H,E01033556,2635,100,119,4.5,102,3.9,108,4.1,400,15.2,502,19.1,385,14.6,240,9.1,188,7.1,104,3.9,85,3.2,81,3.1,91,3.5,69,2.6,55,2.1,40,1.5,33,1.3,16,0.6,17,0.6
Newcastle upon Tyne 025B,E01008415,1280,100,74,5.8,92,7.2,101,7.9,87,6.8,61,4.8,97,7.6,88,6.9,72,5.6,68,5.3,85,6.6,73,5.7,75,5.9,124,9.7,60,4.7,60,4.7,24,1.9,23,1.8,16,1.2
Newcastle upon Tyne 025C,E01008416,1724,100,88,5.1,91,5.3,92,5.3,96,5.6,80,4.6,86,5,115,6.7,100,5.8,122,7.1,125,7.3,139,8.1,130,7.5,124,7.2,102,5.9,94,5.5,53,3.1,51,3,36,2.1
Newcastle upon Tyne 025E,E01033547,2684,100,189,7,217,8.1,203,7.6,124,4.6,121,4.5,190,7.1,291,10.8,226,8.4,158,5.9,118,4.4,136,5.1,150,5.6,147,5.5,128,4.8,106,3.9,67,2.5,49,1.8,64,2.4
Newcastle upon Tyne 027A,E01008288,1344,100,69,5.1,88,6.5,69,5.1,78,5.8,56,4.2,85,6.3,90,6.7,96,7.1,95,7.1,104,7.7,71,5.3,98,7.3,101,7.5,81,6,59,4.4,48,3.6,30,2.2,26,1.9
Newcastle upon Tyne 027B,E01008289,1742,100,117,6.7,151,8.7,138,7.9,110,6.3,97,5.6,101,5.8,91,5.2,100,5.7,105,6,82,4.7,92,5.3,101,5.8,94,5.4,91,5.2,87,5,57,3.3,51,2.9,77,4.4
Newcastle upon Tyne 027C,E01008290,1697,100,137,8.1,118,7,122,7.2,92,5.4,101,6,166,9.8,182,10.7,152,9,113,6.7,95,5.6,98,5.8,82,4.8,85,5,41,2.4,57,3.4,39,2.3,7,0.4,10,0.6
Newcastle upon Tyne 027D,E01008291,2098,100,185,8.8,195,9.3,203,9.7,165,7.9,150,7.1,134,6.4,151,7.2,161,7.7,159,7.6,140,6.7,104,5,79,3.8,76,3.6,57,2.7,53,2.5,42,2,18,0.9,26,1.2
