2021 super output area - lower layer,mnemonic,Total,%,Aged 4 years and under,%,Aged 5 to 9 years,%,Aged 10 to 14 years,%,Aged 15 to 19 years,%,Aged 20 to 24 years,%,Aged 25 to 29 years,%,Aged 30 to 34 years,%,Aged 35 to 39 years,%,Aged 40 to 44 years,%,Aged 45 to 49 years,%,Aged 50 to 54 years,%,Aged 55 to 59 years,%,Aged 60 to 64 years,%,Aged 65 to 69 years,%,Aged 70 to 74 years,%,Aged 75 to 79 years,%,Aged 80 to 84 years,%,Aged 85 years and over,%
Newcastle upon Tyne 002A,E01008309,1786,100,88,4.9,91,5.1,116,6.5,81,4.5,56,3.1,62,3.5,87,4.9,108,6,114,6.4,96,5.4,104,5.8,132,7.4,113,6.3,133,7.4,125,7,93,5.2,71,4,116,6.5
Newcastle upon Tyne 002C,E01008352,1440,100,63,4.4,85,5.9,119,8.3,75,5.2,68,4.7,106,7.4,91,6.3,114,7.9,100,6.9,98,6.8,95,6.6,103,7.2,80,5.6,61,4.2,58,4,43,3,35,2.4,46,3.2
Newcastle upon Tyne 002D,E01008357,1525,100,64,4.2,82,5.4,78,5.1,52,3.4,50,3.3,56,3.7,61,4,70,4.6,80,5.2,69,4.5,102,6.7,113,7.4,128,8.4,160,10.5,144,9.4,92,6,57,3.7,67,4.4
Newcastle upon Tyne 002E,E01008358,1707,100,68,4,63,3.7,75,4.4,52,3,134,7.9,263,15.4,155,9.1,135,7.9,108,6.3,91,5.3,69,4,87,5.1,89,5.2,76,4.5,96,5.6,64,3.7,44,2.6,38,2.2
Newcastle upon Tyne 002F,E01033550,2054,100,98,4.8,172,8.4,213,10.4,162,7.9,73,3.6,68,3.3,88,4.3,108,5.3,182,8.9,215,10.5,211,10.3,145,7.1,107,5.2,74,3.6,54,2.6,37,1.8,31,1.5,16,0.8
Newcastle upon Tyne 002G,E01033551,1829,100,90,4.9,94,5.1,101,5.5,75,4.1,56,3.1,82,4.5,123,6.7,114,6.2,118,6.5,105,5.7,129,7.1,121,6.6,135,7.4,126,6.9,115,6.3,109,6,65,3.6,71,3.9
Newcastle upon Tyne 003A,E01008336,1328,100,59,4.4,71,5.3,95,7.2,58,4.4,91,6.9,90,6.8,89,6.7,78,5.9,80,6,89,6.7,100,7.5,94,7.1,88,6.6,66,5,60,4.5,45,3.4,38,2.9,37,2.8
Newcastle upon Tyne 003B,E01008337,1304,100,57,4.4,83,6.4,118,9,80,6.1,76,5.8,61,4.7,58,4.4,84,6.4,86,6.6,76,5.8,73,5.6,102,7.8,96,7.4,75,5.8,62,4.8,38,2.9,41,3.1,38,2.9
Newcastle upon Tyne 003C,E01008338,1128,100,54,4.8,78,6.9,63,5.6,78,6.9,63,5.6,78,6.9,73,6.5,75,6.6,72,6.4,67,5.9,81,7.2,89,7.9,79,7,62,5.5,49,4.3,34,3,20,1.8,13,1.2
Newcastle upon Tyne 003D,E01008339,1842,100,104,5.6,118,6.4,123,6.7,123,6.7,175,9.5,120,6.5,189,10.3,137,7.4,109,5.9,96,5.2,100,5.4,129,7,96,5.2,84,4.6,49,2.7,36,2,27,1.5,27,1.5
Newcastle upon Tyne 003E,E01008340,1751,100,102,5.8,125,7.1,154,8.8,142,8.1,89,5.1,123,7,131,7.5,117,6.7,103,5.9,165,9.4,91,5.2,99,5.7,89,5.1,73,4.2,42,2.4,29,1.7,32,1.8,45,2.6
Newcastle upon Tyne 003F,E01008341,1412,100,75,5.3,72,5.1,92,6.5,72,5.1,78,5.5,102,7.2,95,6.7,75,5.3,78,5.5,75,5.3,104,7.4,95,6.7,137,9.7,61,4.3,64,4.5,57,4,27,1.9,53,3.8
Newcastle upon Tyne 003G,E01008342,1330,100,42,3.2,48,3.6,53,4,42,3.2,63,4.7,75,5.6,75,5.6,62,4.7,74,5.6,68,5.1,90,6.8,109,8.2,124,9.3,100,7.5,114,8.6,68,5.1,60,4.5,63,4.7
Newcastle upon Tyne 004A,E01008293,1376,100,66,4.8,53,3.9,60,4.4,62,4.5,80,5.8,102,7.4,98,7.1,77,5.6,83,6,76,5.5,95,6.9,95,6.9,124,9,120,8.7,93,6.8,43,3.1,28,2,21,1.5
Newcastle upon Tyne 004B,E01008456,1521,100,96,6.3,116,7.6,103,6.8,99,6.5,93,6.1,117,7.7,90,5.9,103,6.8,80,5.3,91,6,95,6.2,113,7.4,109,7.2,58,3.8,40,2.6,33,2.2,48,3.2,37,2.4
Newcastle upon Tyne 004C,E01008457,1588,100,104,6.5,96,6,91,5.7,74,4.7,69,4.3,100,6.3,103,6.5,97,6.1,82,5.2,89,5.6,109,6.9,109,6.9,152,9.6,90,5.7,71,4.5,44,2.8,41,2.6,67,4.2
Newcastle upon Tyne 004D,E01008458,2133,100,110,5.2,115,5.4,96,4.5,90,4.2,78,3.7,158,7.4,139,6.5,142,6.7,149,7,129,6,149,7,171,8,151,7.1,98,4.6,130,6.1,88,4.1,61,2.9,79,3.7
Newcastle upon Tyne 004E,E01008459,1870,100,156,8.3,215,11.5,137,7.3,121,6.5,109,5.8,133,7.1,144,7.7,169,9,88,4.7,109,5.8,108,5.8,98,5.2,73,3.9,62,3.3,47,2.5,30,1.6,34,1.8,37,2
Newcastle upon Tyne 004F,E01008460,1402,100,84,6,103,7.3,85,6.1,81,5.8,92,6.6,78,5.6,117,8.3,76,5.4,66,4.7,71,5.1,97,6.9,114,8.1,90,6.4,75,5.3,58,4.1,50,3.6,34,2.4,31,2.2
Newcastle upon Tyne 005A,E01008351,1393,100,80,5.7,77,5.5,57,4.1,55,3.9,50,3.6,75,5.4,97,7,101,7.3,98,7,90,6.5,81,5.8,93,6.7,97,7,83,6,91,6.5,61,4.4,56,4,51,3.7
Newcastle upon Tyne 005B,E01008354,1621,100,83,5.1,104,6.4,109,6.7,71,4.4,75,4.6,147,9.1,117,7.2,144,8.9,126,7.8,93,5.7,119,7.3,131,8.1,68,4.2,84,5.2,53,3.3,36,2.2,31,1.9,30,1.9
Newcastle upon Tyne 005C,E01008418,1958,100,101,5.2,106,5.4,98,5,86,4.4,84,4.3,107,5.5,114,5.8,109,5.6,120,6.1,139,7.1,136,6.9,134,6.8,133,6.8,126,6.4,145,7.4,76,3.9,52,2.7,92,4.7
Newcastle upon Tyne 005D,E01008420,1306,100,66,5.1,61,4.7,72,5.5,77,5.9,76,5.8,52,4,55,4.2,64,4.9,68,5.2,86,6.6,93,7.1,108,8.3,100,7.7,90,6.9,71,5.4,51,3.9,47,3.6,69,5.3
Newcastle upon Tyne 005E,E01008422,1561,100,96,6.1,72,4.6,67,4.3,69,4.4,222,14.2,106,6.8,120,7.7,95,6.1,81,5.2,92,5.9,94,6,81,5.2,76,4.9,93,6,64,4.1,49,3.1,30,1.9,54,3.5
Newcastle upon Tyne 005F,E01008424,1502,100,83,5.5,54,3.6,40,2.7,145,9.7,154,10.3,214,14.2,195,13,138,9.2,70,4.7,53,3.5,80,5.3,47,3.1,49,3.3,52,3.5,44,2.9,33,2.2,19,1.3,32,2.1
Newcastle upon Tyne 006A,E01008353,1526,100,90,5.9,104,6.8,80,5.2,68,4.5,79,5.2,95,6.2,110,7.2,110,7.2,111,7.3,90,5.9,103,6.7,107,7,78,5.1,95,6.2,64,4.2,49,3.2,42,2.8,51,3.3
Newcastle upon Tyne 006B,E01008355,1534,100,79,5.1,97,6.3,68,4.4,61,4,56,3.7,110,7.2,123,8,126,8.2,135,8.8,94,6.1,83,5.4,98,6.4,72,4.7,86,5.6,82,5.3,59,3.8,37,2.4,68,4.4
Newcastle upon Tyne 006C,E01008356,1325,100,69,5.2,68,5.1,63,4.8,63,4.8,55,4.2,73,5.5,64,4.8,101,7.6,99,7.5,100,7.5,79,6,125,9.4,90,6.8,77,5.8,88,6.6,44,3.3,35,2.6,32,2.4
Newcastle upon Tyne 006D,E01008378,1422,100,86,6,108,7.6,105,7.4,82,5.8,39,2.7,64,4.5,72,5.1,90,6.3,111,7.8,89,6.3,86,6,97,6.8,95,6.7,82,5.8,83,5.8,62,4.4,36,2.5,35,2.5
Newcastle upon Tyne 006E,E01008419,1427,100,57,4,78,5.5,85,6,82,5.7,79,5.5,111,7.8,87,6.1,92,6.4,94,6.6,94,6.6,121,8.5,117,8.2,90,6.3,69,4.8,56,3.9,46,3.2,30,2.1,39,2.7
Newcastle upon Tyne 006F,E01008421,1514,100,88,5.8,103,6.8,78,5.2,85,5.6,89,5.9,112,7.4,112,7.4,103,6.8,108,7.1,101,6.7,115,7.6,89,5.9,79,5.2,72,4.8,71,4.7,42,2.8,35,2.3,32,2.1
Newcastle upon Tyne 006G,E01008423,1304,100,53,4.1,59,4.5,95,7.3,80,6.1,52,4,33,2.5,29,2.2,55,4.2,71,5.4,86,6.6,119,9.1,113,8.7,102,7.8,77,5.9,93,7.1,74,5.7,51,3.9,62,4.8
Newcastle upon Tyne 007A,E01008317,1408,100,78,5.5,97,6.9,94,6.7,87,6.2,56,4,52,3.7,61,4.3,99,7,100,7.1,112,8,100,7.1,108,7.7,111,7.9,82,5.8,53,3.8,37,2.6,31,2.2,50,3.6
Newcastle upon Tyne 007B,E01008319,1794,100,69,3.8,101,5.6,128,7.1,127,7.1,82,4.6,56,3.1,69,3.8,116,6.5,110,6.1,144,8,166,9.3,163,9.1,151,8.4,101,5.6,97,5.4,63,3.5,26,1.4,25,1.4
Newcastle upon Tyne 007C,E01008320,1585,100,75,4.7,109,6.9,85,5.4,85,5.4,64,4,84,5.3,118,7.4,130,8.2,111,7,102,6.4,92,5.8,110,6.9,109,6.9,99,6.2,87,5.5,48,3,34,2.1,43,2.7
Newcastle upon Tyne 007D,E01008321,1707,100,82,4.8,83,4.9,85,5,82,4.8,59,3.5,99,5.8,130,7.6,128,7.5,123,7.2,89,5.2,93,5.4,115,6.7,139,8.1,105,6.2,114,6.7,49,2.9,58,3.4,74,4.3
Newcastle upon Tyne 007E,E01008322,1543,100,106,6.9,89,5.8,100,6.5,87,5.6,63,4.1,67,4.3,113,7.3,121,7.8,112,7.3,105,6.8,119,7.7,100,6.5,103,6.7,82,5.3,79,5.1,32,2.1,24,1.6,41,2.7
Newcastle upon Tyne 007F,E01008323,1658,100,111,6.7,99,6,72,4.3,59,3.6,96,5.8,187,11.3,193,11.6,176,10.6,118,7.1,89,5.4,83,5,76,4.6,78,4.7,76,4.6,64,3.9,31,1.9,20,1.2,30,1.8
Newcastle upon Tyne 008A,E01008295,1794,100,108,6,158,8.8,183,10.2,134,7.5,151,8.4,149,8.3,118,6.6,109,6.1,108,6,101,5.6,138,7.7,96,5.4,56,3.1,54,3,59,3.3,29,1.6,21,1.2,22,1.2
Newcastle upon Tyne 008B,E01008374,1498,100,76,5.1,89,5.9,108,7.2,67,4.5,69,4.6,78,5.2,123,8.2,123,8.2,87,5.8,93,6.2,103,6.9,106,7.1,95,6.3,92,6.1,70,4.7,43,2.9,40,2.7,36,2.4
Newcastle upon Tyne 008C,E01008375,1457,100,64,4.4,100,6.9,97,6.7,75,5.1,66,4.5,90,6.2,109,7.5,89,6.1,130,8.9,90,6.2,100,6.9,106,7.3,109,7.5,86,5.9,69,4.7,32,2.2,25,1.7,20,1.4
Newcastle upon Tyne 008D,E01008376,1163,100,65,5.6,65,5.6,72,6.2,54,4.6,48,4.1,61,5.2,82,7.1,80,6.9,77,6.6,77,6.6,97,8.3,86,7.4,71,6.1,84,7.2,62,5.3,38,3.3,27,2.3,17,1.5
Newcastle upon Tyne 008E,E01008377,2300,100,150,6.5,239,10.4,186,8.1,156,6.8,159,6.9,139,6,193,8.4,230,10,152,6.6,155,6.7,130,5.7,112,4.9,82,3.6,58,2.5,55,2.4,30,1.3,24,1,50,2.2
Newcastle upon Tyne 008F,E01008379,1685,100,84,5,110,6.5,118,7,101,6,60,3.6,76,4.5,102,6.1,112,6.6,94,5.6,90,5.3,89,5.3,132,7.8,98,5.8,109,6.5,91,5.4,87,5.2,64,3.8,68,4
Newcastle upon Tyne 008G,E01008380,1900,100,181,9.5,187,9.8,173,9.1,123,6.5,94,4.9,138,7.3,153,8.1,146,7.7,114,6,103,5.4,125,6.6,108,5.7,103,5.4,53,2.8,55,2.9,22,1.2,11,0.6,11,0.6
Newcastle upon Tyne 011A,E01008296,1339,100,67,5,54,4,56,4.2,55,4.1,65,4.9,89,6.6,61,4.6,79,5.9,69,5.2,63,4.7,88,6.6,105,7.8,118,8.8,105,7.8,113,8.4,80,6,37,2.8,35,2.6
Newcastle upon Tyne 011B,E01008297,1956,100,146,7.5,116,5.9,120,6.1,93,4.8,101,5.2,176,9,162,8.3,149,7.6,136,7,123,6.3,108,5.5,140,7.2,117,6,79,4,70,3.6,58,3,33,1.7,29,1.5
Newcastle upon Tyne 011C,E01008298,1942,100,182,9.4,127,6.5,108,5.6,64,3.3,118,6.1,174,9,212,10.9,148,7.6,90,4.6,129,6.6,109,5.6,100,5.1,112,5.8,85,4.4,66,3.4,43,2.2,38,2,37,1.9
Newcastle upon Tyne 011D,E01008299,1383,100,77,5.6,108,7.8,118,8.5,105,7.6,88,6.4,74,5.4,77,5.6,106,7.7,80,5.8,105,7.6,92,6.7,99,7.2,65,4.7,56,4,55,4,27,2,24,1.7,27,2
Newcastle upon Tyne 012A,E01008314,1083,100,56,5.2,43,4,50,4.6,60,5.5,56,5.2,71,6.6,106,9.8,82,7.6,84,7.8,62,5.7,60,5.5,88,8.1,76,7,39,3.6,45,4.2,34,3.1,36,3.3,35,3.2
Newcastle upon Tyne 012B,E01008315,1505,100,71,4.7,79,5.2,101,6.7,83,5.5,65,4.3,119,7.9,95,6.3,97,6.4,113,7.5,120,8,108,7.2,107,7.1,98,6.5,72,4.8,66,4.4,29,1.9,37,2.5,45,3
Newcastle upon Tyne 012C,E01008316,1503,100,67,4.5,67,4.5,77,5.1,62,4.1,66,4.4,109,7.3,135,9,103,6.9,96,6.4,82,5.5,120,8,109,7.3,111,7.4,83,5.5,72,4.8,68,4.5,40,2.7,36,2.4
Newcastle upon Tyne 012D,E01008318,1317,100,65,4.9,89,6.8,77,5.8,71,5.4,74,5.6,86,6.5,93,7.1,101,7.7,91,6.9,63,4.8,76,5.8,77,5.8,98,7.4,76,5.8,67,5.1,49,3.7,28,2.1,36,2.7
Newcastle upon Tyne 012E,E01008363,1582,100,47,3,48,3,37,2.3,51,3.2,129,8.2,182,11.5,147,9.3,118,7.5,85,5.4,77,4.9,89,5.6,100,6.3,82,5.2,84,5.3,108,6.8,82,5.2,61,3.9,55,3.5
Newcastle upon Tyne 012F,E01008365,1586,100,68,4.3,85,5.4,115,7.3,97,6.1,151,9.5,78,4.9,80,5,89,5.6,104,6.6,117,7.4,121,7.6,112,7.1,110,6.9,108,6.8,68,4.3,37,2.3,26,1.6,20,1.3
Newcastle upon Tyne 013A,E01008366,2125,100,43,2,39,1.8,31,1.5,200,9.4,1200,56.5,103,4.8,79,3.7,56,2.6,52,2.4,38,1.8,48,2.3,46,2.2,43,2,49,2.3,46,2.2,25,1.2,15,0.7,12,0.6
Newcastle upon Tyne 013B,E01008369,2005,100,24,1.2,32,1.6,24,1.2,144,7.2,1126,56.2,151,7.5,59,2.9,57,2.8,50,2.5,39,1.9,56,2.8,61,3,54,2.7,41,2,42,2.1,24,1.2,16,0.8,5,0.2
Newcastle upon Tyne 013C,E01008371,1411,100,38,2.7,67,4.7,66,4.7,68,4.8,86,6.1,77,5.5,48,3.4,73,5.2,77,5.5,66,4.7,85,6,115,8.2,157,11.1,89,6.3,119,8.4,66,4.7,56,4,58,4.1
Newcastle upon Tyne 013D,E01008372,1803,100,16,0.9,10,0.6,20,1.1,135,7.5,1034,57.3,162,9,74,4.1,39,2.2,41,2.3,33,1.8,30,1.7,50,2.8,34,1.9,35,1.9,31,1.7,23,1.3,16,0.9,20,1.1
Newcastle upon Tyne 013E,E01008373,2164,100,12,0.6,11,0.5,4,0.2,205,9.5,1537,71,160,7.4,47,2.2,39,1.8,19,0.9,10,0.5,18,0.8,23,1.1,31,1.4,16,0.7,13,0.6,8,0.4,5,0.2,6,0.3
Newcastle upon Tyne 014A,E01008400,1736,100,92,5.3,106,6.1,100,5.8,95,5.5,83,4.8,118,6.8,121,7,115,6.6,124,7.1,84,4.8,124,7.1,114,6.6,104,6,75,4.3,114,6.6,64,3.7,55,3.2,48,2.8
Newcastle upon Tyne 014B,E01008401,1504,100,68,4.5,95,6.3,112,7.4,117,7.8,66,4.4,70,4.7,83,5.5,109,7.2,69,4.6,93,6.2,116,7.7,84,5.6,69,4.6,67,4.5,113,7.5,67,4.5,52,3.5,54,3.6
Newcastle upon Tyne 014C,E01008402,1429,100,69,4.8,86,6,88,6.2,83,5.8,57,4,89,6.2,99,6.9,75,5.2,68,4.8,96,6.7,105,7.3,106,7.4,104,7.3,73,5.1,98,6.9,61,4.3,37,2.6,35,2.4
Newcastle upon Tyne 014D,E01008403,1582,100,79,5,66,4.2,64,4,70,4.4,68,4.3,101,6.4,102,6.4,98,6.2,87,5.5,81,5.1,103,6.5,111,7,126,8,82,5.2,98,6.2,77,4.9,85,5.4,84,5.3
Newcastle upon Tyne 014E,E01008404,1551,100,72,4.6,94,6.1,57,3.7,53,3.4,125,8.1,119,7.7,102,6.6,114,7.4,127,8.2,108,7,95,6.1,144,9.3,113,7.3,79,5.1,72,4.6,37,2.4,20,1.3,20,1.3
